0000      //The golden pattern 3 of FFT result (imag) , 0: 000
010C      //The golden pattern 3 of FFT result (imag) , 1: 1.046875e+000
011B      //The golden pattern 3 of FFT result (imag) , 2: 1.105469e+000
0027      //The golden pattern 3 of FFT result (imag) , 3: 1.523438e-001
0010      //The golden pattern 3 of FFT result (imag) , 4: 6.250000e-002
0008      //The golden pattern 3 of FFT result (imag) , 5: 3.125000e-002
0005      //The golden pattern 3 of FFT result (imag) , 6: 1.953125e-002
0002      //The golden pattern 3 of FFT result (imag) , 7: 7.812500e-003
0000      //The golden pattern 3 of FFT result (imag) , 8: 000
FFFE      //The golden pattern 3 of FFT result (imag) , 9: -7.812500e-003
FFFB      //The golden pattern 3 of FFT result (imag) , 10: -1.953125e-002
FFF8      //The golden pattern 3 of FFT result (imag) , 11: -3.125000e-002
FFF0      //The golden pattern 3 of FFT result (imag) , 12: -6.250000e-002
FFD9      //The golden pattern 3 of FFT result (imag) , 13: -1.523438e-001
FEE5      //The golden pattern 3 of FFT result (imag) , 14: -1.105469e+000
FEF4      //The golden pattern 3 of FFT result (imag) , 15: -1.046875e+000
0000      //The golden pattern 3 of FFT result (imag) , 16: 000
FE0B      //The golden pattern 3 of FFT result (imag) , 17: -1.957031e+000
FF40      //The golden pattern 3 of FFT result (imag) , 18: -7.500000e-001
000F      //The golden pattern 3 of FFT result (imag) , 19: 5.859375e-002
0014      //The golden pattern 3 of FFT result (imag) , 20: 7.812500e-002
000E      //The golden pattern 3 of FFT result (imag) , 21: 5.468750e-002
0009      //The golden pattern 3 of FFT result (imag) , 22: 3.515625e-002
0005      //The golden pattern 3 of FFT result (imag) , 23: 1.953125e-002
0000      //The golden pattern 3 of FFT result (imag) , 24: 000
FFFB      //The golden pattern 3 of FFT result (imag) , 25: -1.953125e-002
FFF7      //The golden pattern 3 of FFT result (imag) , 26: -3.515625e-002
FFF2      //The golden pattern 3 of FFT result (imag) , 27: -5.468750e-002
FFEC      //The golden pattern 3 of FFT result (imag) , 28: -7.812500e-002
FFF1      //The golden pattern 3 of FFT result (imag) , 29: -5.859375e-002
00C0      //The golden pattern 3 of FFT result (imag) , 30: 7.500000e-001
01F5      //The golden pattern 3 of FFT result (imag) , 31: 1.957031e+000
0000      //The golden pattern 3 of FFT result (imag) , 32: 000
0132      //The golden pattern 3 of FFT result (imag) , 33: 1.195313e+000
0186      //The golden pattern 3 of FFT result (imag) , 34: 1.523438e+000
003D      //The golden pattern 3 of FFT result (imag) , 35: 2.382813e-001
001C      //The golden pattern 3 of FFT result (imag) , 36: 1.093750e-001
000F      //The golden pattern 3 of FFT result (imag) , 37: 5.859375e-002
0008      //The golden pattern 3 of FFT result (imag) , 38: 3.125000e-002
0004      //The golden pattern 3 of FFT result (imag) , 39: 1.562500e-002
0000      //The golden pattern 3 of FFT result (imag) , 40: 000
FFFC      //The golden pattern 3 of FFT result (imag) , 41: -1.562500e-002
FFF8      //The golden pattern 3 of FFT result (imag) , 42: -3.125000e-002
FFF1      //The golden pattern 3 of FFT result (imag) , 43: -5.859375e-002
FFE4      //The golden pattern 3 of FFT result (imag) , 44: -1.093750e-001
FFC3      //The golden pattern 3 of FFT result (imag) , 45: -2.382813e-001
FE7A      //The golden pattern 3 of FFT result (imag) , 46: -1.523438e+000
FECE      //The golden pattern 3 of FFT result (imag) , 47: -1.195313e+000
0000      //The golden pattern 3 of FFT result (imag) , 48: 000
00F9      //The golden pattern 3 of FFT result (imag) , 49: 9.726563e-001
FCE8      //The golden pattern 3 of FFT result (imag) , 50: -3.093750e+000
FF13      //The golden pattern 3 of FFT result (imag) , 51: -9.257813e-001
FF79      //The golden pattern 3 of FFT result (imag) , 52: -5.273438e-001
FFAD      //The golden pattern 3 of FFT result (imag) , 53: -3.242188e-001
FFD0      //The golden pattern 3 of FFT result (imag) , 54: -1.875000e-001
FFE9      //The golden pattern 3 of FFT result (imag) , 55: -8.984375e-002
0000      //The golden pattern 3 of FFT result (imag) , 56: 000
0017      //The golden pattern 3 of FFT result (imag) , 57: 8.984375e-002
0030      //The golden pattern 3 of FFT result (imag) , 58: 1.875000e-001
0053      //The golden pattern 3 of FFT result (imag) , 59: 3.242188e-001
0087      //The golden pattern 3 of FFT result (imag) , 60: 5.273438e-001
00ED      //The golden pattern 3 of FFT result (imag) , 61: 9.257813e-001
0318      //The golden pattern 3 of FFT result (imag) , 62: 3.093750e+000
FF07      //The golden pattern 3 of FFT result (imag) , 63: -9.726563e-001
0000      //The golden pattern 3 of FFT result (imag) , 64: 000
FC8F      //The golden pattern 3 of FFT result (imag) , 65: -3.441406e+000
049A      //The golden pattern 3 of FFT result (imag) , 66: 4.601563e+000
01A5      //The golden pattern 3 of FFT result (imag) , 67: 1.644531e+000
00F6      //The golden pattern 3 of FFT result (imag) , 68: 9.609375e-001
0099      //The golden pattern 3 of FFT result (imag) , 69: 5.976563e-001
005E      //The golden pattern 3 of FFT result (imag) , 70: 3.671875e-001
002B      //The golden pattern 3 of FFT result (imag) , 71: 1.679688e-001
0000      //The golden pattern 3 of FFT result (imag) , 72: 000
FFD5      //The golden pattern 3 of FFT result (imag) , 73: -1.679688e-001
FFA2      //The golden pattern 3 of FFT result (imag) , 74: -3.671875e-001
FF67      //The golden pattern 3 of FFT result (imag) , 75: -5.976563e-001
FF0A      //The golden pattern 3 of FFT result (imag) , 76: -9.609375e-001
FE5B      //The golden pattern 3 of FFT result (imag) , 77: -1.644531e+000
FB66      //The golden pattern 3 of FFT result (imag) , 78: -4.601563e+000
0371      //The golden pattern 3 of FFT result (imag) , 79: 3.441406e+000
0000      //The golden pattern 3 of FFT result (imag) , 80: 000
04E2      //The golden pattern 3 of FFT result (imag) , 81: 4.882813e+000
FB0C      //The golden pattern 3 of FFT result (imag) , 82: -4.953125e+000
FE16      //The golden pattern 3 of FFT result (imag) , 83: -1.914063e+000
FEDC      //The golden pattern 3 of FFT result (imag) , 84: -1.140625e+000
FF4A      //The golden pattern 3 of FFT result (imag) , 85: -7.109375e-001
FF90      //The golden pattern 3 of FFT result (imag) , 86: -4.375000e-001
FFCB      //The golden pattern 3 of FFT result (imag) , 87: -2.070313e-001
0000      //The golden pattern 3 of FFT result (imag) , 88: 000
0035      //The golden pattern 3 of FFT result (imag) , 89: 2.070313e-001
0070      //The golden pattern 3 of FFT result (imag) , 90: 4.375000e-001
00B6      //The golden pattern 3 of FFT result (imag) , 91: 7.109375e-001
0124      //The golden pattern 3 of FFT result (imag) , 92: 1.140625e+000
01EA      //The golden pattern 3 of FFT result (imag) , 93: 1.914063e+000
04F4      //The golden pattern 3 of FFT result (imag) , 94: 4.953125e+000
FB1E      //The golden pattern 3 of FFT result (imag) , 95: -4.882813e+000
