00      //X=00  Y=00  => SRAM[0000]= 00
00      //X=00  Y=01  => SRAM[0001]= 00
00      //X=00  Y=02  => SRAM[0002]= 00
00      //X=00  Y=03  => SRAM[0003]= 00
00      //X=00  Y=04  => SRAM[0004]= 00
00      //X=00  Y=05  => SRAM[0005]= 00
00      //X=00  Y=06  => SRAM[0006]= 00
00      //X=00  Y=07  => SRAM[0007]= 00
00      //X=00  Y=08  => SRAM[0008]= 00
00      //X=00  Y=09  => SRAM[0009]= 00
00      //X=00  Y=10  => SRAM[0010]= 00
00      //X=00  Y=11  => SRAM[0011]= 00
00      //X=00  Y=12  => SRAM[0012]= 00
00      //X=00  Y=13  => SRAM[0013]= 00
00      //X=00  Y=14  => SRAM[0014]= 00
00      //X=00  Y=15  => SRAM[0015]= 00
00      //X=00  Y=16  => SRAM[0016]= 00
00      //X=00  Y=17  => SRAM[0017]= 00
00      //X=00  Y=18  => SRAM[0018]= 00
00      //X=00  Y=19  => SRAM[0019]= 00
00      //X=00  Y=20  => SRAM[0020]= 00
00      //X=00  Y=21  => SRAM[0021]= 00
00      //X=00  Y=22  => SRAM[0022]= 00
00      //X=00  Y=23  => SRAM[0023]= 00
00      //X=00  Y=24  => SRAM[0024]= 00
00      //X=00  Y=25  => SRAM[0025]= 00
00      //X=00  Y=26  => SRAM[0026]= 00
00      //X=00  Y=27  => SRAM[0027]= 00
00      //X=00  Y=28  => SRAM[0028]= 00
00      //X=00  Y=29  => SRAM[0029]= 00
00      //X=00  Y=30  => SRAM[0030]= 00
00      //X=00  Y=31  => SRAM[0031]= 00
00      //X=01  Y=00  => SRAM[0032]= 00
00      //X=01  Y=01  => SRAM[0033]= 00
00      //X=01  Y=02  => SRAM[0034]= 00
00      //X=01  Y=03  => SRAM[0035]= 00
00      //X=01  Y=04  => SRAM[0036]= 00
00      //X=01  Y=05  => SRAM[0037]= 00
00      //X=01  Y=06  => SRAM[0038]= 00
00      //X=01  Y=07  => SRAM[0039]= 00
00      //X=01  Y=08  => SRAM[0040]= 00
00      //X=01  Y=09  => SRAM[0041]= 00
00      //X=01  Y=10  => SRAM[0042]= 00
00      //X=01  Y=11  => SRAM[0043]= 00
00      //X=01  Y=12  => SRAM[0044]= 00
00      //X=01  Y=13  => SRAM[0045]= 00
00      //X=01  Y=14  => SRAM[0046]= 00
00      //X=01  Y=15  => SRAM[0047]= 00
00      //X=01  Y=16  => SRAM[0048]= 00
00      //X=01  Y=17  => SRAM[0049]= 00
00      //X=01  Y=18  => SRAM[0050]= 00
00      //X=01  Y=19  => SRAM[0051]= 00
00      //X=01  Y=20  => SRAM[0052]= 00
00      //X=01  Y=21  => SRAM[0053]= 00
00      //X=01  Y=22  => SRAM[0054]= 00
00      //X=01  Y=23  => SRAM[0055]= 00
00      //X=01  Y=24  => SRAM[0056]= 00
00      //X=01  Y=25  => SRAM[0057]= 00
00      //X=01  Y=26  => SRAM[0058]= 00
00      //X=01  Y=27  => SRAM[0059]= 00
00      //X=01  Y=28  => SRAM[0060]= 00
00      //X=01  Y=29  => SRAM[0061]= 00
00      //X=01  Y=30  => SRAM[0062]= 00
00      //X=01  Y=31  => SRAM[0063]= 00
00      //X=02  Y=00  => SRAM[0064]= 00
00      //X=02  Y=01  => SRAM[0065]= 00
00      //X=02  Y=02  => SRAM[0066]= 00
01      //X=02  Y=03  => SRAM[0067]= 01
01      //X=02  Y=04  => SRAM[0068]= 01
00      //X=02  Y=05  => SRAM[0069]= 00
00      //X=02  Y=06  => SRAM[0070]= 00
00      //X=02  Y=07  => SRAM[0071]= 00
00      //X=02  Y=08  => SRAM[0072]= 00
00      //X=02  Y=09  => SRAM[0073]= 00
00      //X=02  Y=10  => SRAM[0074]= 00
00      //X=02  Y=11  => SRAM[0075]= 00
00      //X=02  Y=12  => SRAM[0076]= 00
00      //X=02  Y=13  => SRAM[0077]= 00
00      //X=02  Y=14  => SRAM[0078]= 00
00      //X=02  Y=15  => SRAM[0079]= 00
00      //X=02  Y=16  => SRAM[0080]= 00
00      //X=02  Y=17  => SRAM[0081]= 00
00      //X=02  Y=18  => SRAM[0082]= 00
00      //X=02  Y=19  => SRAM[0083]= 00
00      //X=02  Y=20  => SRAM[0084]= 00
00      //X=02  Y=21  => SRAM[0085]= 00
00      //X=02  Y=22  => SRAM[0086]= 00
00      //X=02  Y=23  => SRAM[0087]= 00
00      //X=02  Y=24  => SRAM[0088]= 00
00      //X=02  Y=25  => SRAM[0089]= 00
00      //X=02  Y=26  => SRAM[0090]= 00
00      //X=02  Y=27  => SRAM[0091]= 00
00      //X=02  Y=28  => SRAM[0092]= 00
00      //X=02  Y=29  => SRAM[0093]= 00
00      //X=02  Y=30  => SRAM[0094]= 00
