object 1 1
220 320
103 340 
755 510 
103 50 
982 280 
298 560 
710 50 
object 2 0
220 720
298 560 
103 50 
103 340 
710 50 
755 510 
982 280 
object 3 0
140 160
400 80 
300 800 
980 120 
710 620 
103 500 
130 210 
object 4 1
140 160
298 560 
755 510 
103 50 
710 50 
982 280 
103 340 
object 5 1
410 510
755 510 
982 280 
298 560 
710 50 
103 50 
103 340 
object 6 0
20 625
755 510 
103 340 
710 50 
982 280 
298 560 
103 50 
object 7 0
850 100
103 50 
710 50 
298 560 
755 510 
982 280 
103 340 
object 8 0
20 625
300 800 
710 620 
400 80 
103 500 
130 210 
980 120 
object 9 1
341 996
302 423 
503 521 
694 768 
10 664 
43 1003 
694 1023 
object 10 0
1021 680
710 620 
980 120 
130 210 
400 80 
103 500 
300 800 
object 11 1
152 700
302 423 
694 768 
694 1023 
503 521 
43 1003 
10 664 
object 12 1
500 675
980 120 
710 620 
103 500 
130 210 
300 800 
400 80 
object 13 0
632 635
694 1023 
10 664 
503 521 
694 768 
302 423 
43 1003 
object 14 1
336 492
321 870 
1010 643 
321 127 
432 123 
567 1003 
970 280 
object 15 0
420 710
755 510 
103 50 
103 340 
298 560 
982 280 
710 50 
object 16 0
898 992
300 800 
980 120 
130 210 
400 80 
103 500 
710 620 
object 17 0
872 343
103 500 
130 210 
400 80 
710 620 
980 120 
300 800 
object 18 1
500 675
503 521 
694 768 
694 1023 
43 1003 
10 664 
302 423 
object 19 1
623 870
43 1003 
302 423 
10 664 
694 1023 
694 768 
503 521 
object 20 1
220 320
980 120 
103 500 
710 620 
130 210 
300 800 
400 80 
object 21 0
400 957
432 123 
321 127 
567 1003 
321 870 
970 280 
1010 643 
object 22 1
872 225
710 50 
103 340 
982 280 
755 510 
298 560 
103 50 
object 23 1
400 210
982 280 
103 50 
755 510 
710 50 
103 340 
298 560 
object 24 1
300 492
503 521 
43 1003 
302 423 
10 664 
694 1023 
694 768 
object 25 0
782 926
321 127 
567 1003 
970 280 
1010 643 
432 123 
321 870 
object 26 1
623 870
970 280 
432 123 
1010 643 
321 127 
321 870 
567 1003 
object 27 0
500 800
755 510 
103 50 
982 280 
710 50 
103 340 
298 560 
object 28 0
20 625
503 521 
302 423 
694 1023 
10 664 
43 1003 
694 768 
object 29 0
220 620
567 1003 
970 280 
321 870 
432 123 
1010 643 
321 127 
object 30 1
872 343
103 340 
710 50 
103 50 
298 560 
755 510 
982 280 
object 31 0
100 100
503 521 
694 1023 
10 664 
43 1003 
694 768 
302 423 
object 32 0
973 768
694 1023 
10 664 
503 521 
43 1003 
302 423 
694 768 
object 33 1
632 635
321 870 
1010 643 
567 1003 
970 280 
321 127 
432 123 
object 34 1
410 510
103 500 
400 80 
130 210 
710 620 
980 120 
300 800 
object 35 1
220 620
503 521 
43 1003 
694 1023 
10 664 
694 768 
302 423 
object 36 0
1021 50
103 50 
298 560 
710 50 
103 340 
982 280 
755 510 
object 37 0
782 926
10 664 
694 768 
43 1003 
694 1023 
302 423 
503 521 
object 38 0
300 910
400 80 
300 800 
103 500 
980 120 
130 210 
710 620 
object 39 1
641 220
321 870 
567 1003 
321 127 
432 123 
970 280 
1010 643 
object 40 1
872 225
400 80 
103 500 
710 620 
130 210 
300 800 
980 120 
object 41 0
645 166
970 280 
321 870 
432 123 
321 127 
1010 643 
567 1003 
object 42 0
973 799
321 127 
321 870 
970 280 
567 1003 
432 123 
1010 643 
object 43 1
792 499
567 1003 
321 127 
1010 643 
321 870 
432 123 
970 280 
object 44 1
400 210
710 620 
130 210 
300 800 
103 500 
400 80 
980 120 
object 45 0
645 100
10 664 
694 1023 
503 521 
694 768 
302 423 
43 1003 
object 46 0
220 720
980 120 
710 620 
300 800 
103 500 
130 210 
400 80 
object 47 0
130 80
103 500 
300 800 
400 80 
130 210 
710 620 
980 120 
object 48 1
500 675
321 870 
1010 643 
321 127 
567 1003 
432 123 
970 280 
object 49 0
100 100
567 1003 
1010 643 
321 127 
432 123 
321 870 
970 280 
object 50 0
321 1000
321 870 
432 123 
970 280 
567 1003 
321 127 
1010 643 
