1A_A9_92_A8_74_2B_E4_86_B7_89_00_B6_8F_C1_38_1D      //Round_00  P_00: 3.544040e+37
D1_99_D7_A0_25_9F_50_AA_B8_CA_1A_89_78_5D_99_5B      //Round_00  P_01: 2.786074e+38
FA_0F_13_92_4B_6C_48_75_BD_5F_5E_96_5C_8C_6F_C9      //Round_00  P_02: 3.323853e+38
C0_E4_42_33_61_AD_10_37_B0_C0_EA_36_5F_38_2C_4E      //Round_00  P_03: 2.563970e+38
E8_F4_B0_68_EC_2D_0F_38_42_A7_FF_69_62_41_31_BB      //Round_00  P_04: 3.096514e+38
9B_2E_6E_48_31_E3_94_E3_02_8D_2B_84_41_BC_30_A5      //Round_00  P_05: 2.062714e+38
75_12_52_D5_A7_28_D6_4D_59_D9_2C_D6_F8_50_EE_D6      //Round_00  P_06: 1.556148e+38
0B_FC_0B_C1_64_19_58_40_E5_6C_1A_A8_A9_6C_7D_85      //Round_00  P_07: 1.593021e+37
99_6D_4F_DD_31_C2_59_E5_BE_93_9B_7B_81_BF_CB_61      //Round_01  P_00: 2.039395e+38
C8_C2_6D_6A_08_E4_0A_1E_4B_C4_69_DA_32_5A_2F_9E      //Round_01  P_01: 2.668551e+38
D1_EC_9D_BE_CD_3F_64_AA_2F_8A_41_7B_1A_72_3A_9A      //Round_01  P_02: 2.790372e+38
39_DF_3E_11_50_98_DD_53_29_FB_33_45_E3_08_D9_89      //Round_01  P_03: 7.692514e+37
BB_F6_D8_F5_BF_13_06_53_13_1B_30_BB_5C_BA_7E_BA      //Round_01  P_04: 2.498473e+38
AD_4B_E1_AF_97_44_2B_D3_6F_4D_E2_F8_74_9F_FC_60      //Round_01  P_05: 2.303504e+38
F8_B5_ED_42_4B_D8_D4_8C_45_61_A1_60_10_20_2C_1F      //Round_01  P_06: 3.305932e+38
69_E6_90_BC_D0_AF_03_A5_3C_79_9F_3D_D9_37_F3_5D      //Round_01  P_07: 1.407661e+38
0D_DF_4D_7A_E4_7C_77_D8_25_38_A8_3E_47_4E_61_CF      //Round_02  P_00: 1.843942e+37
50_D4_C5_DF_96_5B_D4_98_78_52_2D_04_E9_07_72_E5      //Round_02  P_01: 1.074430e+38
50_09_81_52_D0_36_E6_54_BA_3A_A0_FB_0F_33_5C_58      //Round_02  P_02: 1.063876e+38
7E_E7_9C_8F_8E_3A_81_36_64_05_E0_CD_9D_11_24_04      //Round_02  P_03: 1.686853e+38
0E_A0_AF_3E_D0_C3_D6_A0_27_03_2D_90_90_00_D1_07      //Round_02  P_04: 1.944351e+37
18_92_15_22_09_65_91_43_24_C8_A5_63_AB_A2_2E_D9      //Round_02  P_05: 3.265998e+37
3D_BC_B6_3C_D9_D2_C6_F9_E7_04_E2_A7_55_CD_D5_F0      //Round_02  P_06: 8.206276e+37
C8_82_4C_5D_1D_86_50_29_5A_E7_40_FE_09_64_68_C3      //Round_02  P_07: 2.665221e+38
DE_DD_3B_B0_26_1A_1B_CB_28_32_96_B6_49_43_6B_F7      //Round_03  P_00: 2.962373e+38
9F_23_51_09_BA_0C_B1_EC_DF_9B_7C_1A_EE_48_88_7E      //Round_03  P_01: 2.115306e+38
55_A8_48_B0_33_F0_BD_77_CD_85_D6_72_CC_B6_6E_8E      //Round_03  P_02: 1.138582e+38
